task,disp_name,method,data_file,preproc
Filtering,CDT,odd-even,Filtering.arrow,preproc_filtering
WM3,3BACK,odd-even,WM3.arrow,preproc_nback
spatial_2back,2BACK,odd-even,spatial_2back.arrow,preproc_nback
OSpan,OSPAN,odd-even,OSpan_details.arrow,preproc_span
SSpan,SSPAN,odd-even,SSpan_details.arrow,preproc_span
AntiSac,AST,odd-even,AntiSac.arrow,preproc_antisac
StopSignal,SST,block,StopSignal.arrow,preproc_stopsignal
Stroop,STROOP,odd-even,Stroop.arrow,preproc_stroop
ShiftNumber,NLST,odd-even,ShiftNumber.arrow,preproc_shifting
ShiftingColor,CSST,odd-even,ShiftingColor.arrow,preproc_shifting
CateSwitch,SLST,odd-even,CateSwitch.arrow,preproc_shifting
FNRecog,FN,odd-even,FNRecog.arrow,preproc_ltm
KRecog,KS,odd-even,KRecog.arrow,preproc_ltm
SPST,MST,odd-even,SPST.arrow,preproc_spst
SRT,SRT,odd-even,SRT.arrow,preproc_srt
CRT,CRT,odd-even,CRT.arrow,preproc_crt
keepTrack,KTT,block,keepTrack_4scores_all.csv,identity
